                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.42178,                0.83109,                0.36935,                0.92746,                0.89171,                0.82454,                0.91109,                 0.7961,                0.91121,                0.84101,                0.91717,                0.79937,                0.65305,                 2.6455,                0.59618,                0.99534,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     92,                0.47067,                0.67622,                0.36404,                0.97813,                0.88015,                0.83271,                0.89961,                0.79794,                0.95696,                0.82572,                0.92086,                0.79048,                0.62094,                 2.6352,                0.60328,                0.96611,             4.7529e-05,             4.7529e-05,             4.7529e-05
                     93,                0.39058,                0.77427,                0.39551,                 0.9325,                0.87425,                0.83797,                0.89619,                0.79743,                0.96181,                 0.8283,                0.91707,                0.79143,                0.60789,                 2.6376,                0.59485,                0.95766,             4.6743e-05,             4.6743e-05,             4.6743e-05
                     94,                 0.4009,                 0.6892,                0.38612,                0.93584,                0.89085,                0.84202,                0.91301,                0.81161,                0.96939,                0.83311,                0.92158,                0.80574,                0.58155,                 2.7034,                0.58352,                0.94037,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     95,                0.38025,                 0.6745,                0.34503,                0.92479,                0.89002,                0.84567,                0.90964,                0.80918,                0.97199,                0.83333,                0.91822,                0.80234,                0.57947,                 2.7365,                0.57371,                0.93904,             4.5172e-05,             4.5172e-05,             4.5172e-05
                     96,                0.40994,                0.74061,                0.37941,                0.94335,                0.95107,                    0.8,                 0.9042,                0.80267,                0.97128,                0.83333,                0.91642,                 0.7915,                0.61422,                 2.8638,                0.56186,                0.97886,             4.4387e-05,             4.4387e-05,             4.4387e-05
                     97,                 0.4189,                0.84152,                0.37073,                0.93548,                0.95628,                0.79681,                 0.9083,                0.80407,                 0.9661,                0.83333,                0.92054,                0.78786,                0.63169,                 2.9219,                0.55806,                0.99578,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     98,                0.39509,                0.83837,                0.41893,                0.94132,                0.84765,                0.87908,                0.91121,                0.80138,                0.94586,                0.81667,                0.90095,                0.79403,                0.66516,                 3.0844,                0.55745,                 1.0367,             4.2816e-05,             4.2816e-05,             4.2816e-05
                     99,                0.36642,                 0.7121,                0.36085,                 0.9134,                0.89421,                0.90033,                0.91663,                0.80382,                0.89452,                0.89815,                0.90482,                0.80062,                0.66605,                 3.1202,                0.56124,                 1.0435,             4.2031e-05,             4.2031e-05,             4.2031e-05
                    100,                0.39429,                0.75021,                0.34658,                0.91321,                0.89208,                0.83576,                0.90672,                0.79765,                0.94418,                0.81986,                0.89749,                0.79099,                 0.6679,                 3.1312,                0.57672,                 1.0512,             4.1245e-05,             4.1245e-05,             4.1245e-05
                    101,                0.42331,                0.75192,                0.37863,                  0.927,                0.89078,                0.83527,                0.90512,                0.79245,                0.94398,                0.81994,                0.89446,                0.79117,                  0.666,                  3.197,                0.57777,                  1.054,              4.046e-05,              4.046e-05,              4.046e-05
                    102,                0.37573,                0.73232,                0.35401,                0.91108,                0.91282,                 0.8557,                0.91318,                0.80212,                0.94353,                0.84685,                0.89834,                0.79489,                0.67396,                 3.2906,                0.57874,                 1.0743,             3.9675e-05,             3.9675e-05,             3.9675e-05
