                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.81458,                 1.8433,                0.70711,                0.98808,                0.90297,                0.83529,                0.89785,                0.74525,                0.86533,                0.79791,                0.84633,                  0.587,                0.73305,                  1.708,                0.53816,                0.92812,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                 0.8553,                 1.9309,                0.74113,                0.99968,                0.91053,                0.83082,                0.89686,                0.74564,                0.87104,                0.79549,                0.84751,                0.58846,                0.73093,                 1.7062,                 0.5379,                 0.9275,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.76925,                 1.8561,                0.67306,                0.98447,                0.90042,                0.83408,                0.89715,                 0.7446,                0.86045,                0.79684,                0.84752,                 0.5896,                0.73009,                 1.7039,                 0.5392,                0.92646,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.82198,                 1.9051,                0.70601,                0.98297,                0.90226,                0.83391,                0.89665,                0.74524,                0.86235,                0.79291,                0.84473,                0.58928,                0.73033,                 1.7022,                0.53866,                0.92632,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.84072,                 1.9581,                0.71899,                 1.0015,                0.90603,                0.83137,                 0.8981,                0.74687,                 0.8707,                0.78545,                0.84418,                0.58948,                0.73009,                 1.7006,                0.53917,                0.92569,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.76399,                 1.7511,                 0.6948,                0.99818,                0.90596,                0.83212,                0.89893,                 0.7447,                0.86139,                 0.7918,                0.84385,                0.58772,                0.72921,                 1.7016,                0.53953,                0.92534,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.76397,                 1.7592,                0.67646,                0.98847,                0.90501,                0.83287,                0.89769,                0.74557,                0.86228,                0.79218,                0.84376,                 0.5865,                0.72761,                 1.6995,                 0.5381,                0.92463,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.82489,                 1.8614,                0.75034,                0.99864,                0.90758,                0.82949,                0.89838,                0.74505,                0.86951,                0.78924,                0.84538,                0.58792,                0.72764,                 1.6971,                0.53583,                0.92417,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.79242,                 1.8455,                0.69104,                0.99086,                0.90448,                0.83399,                0.89926,                0.74579,                0.86779,                0.79095,                0.84549,                0.58828,                0.72637,                 1.6963,                0.53498,                0.92358,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.88072,                 2.0211,                0.79975,                  1.008,                0.91958,                0.81858,                0.89649,                0.74335,                0.87941,                0.77869,                0.84009,                0.58913,                0.73676,                 1.7084,                0.54427,                0.92643,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 0.9397,                 2.1152,                0.90042,                 1.0466,                0.91543,                0.81901,                 0.8938,                0.73742,                 0.8787,                0.77809,                 0.8406,                 0.5899,                0.74943,                 1.7228,                0.55631,                 0.9298,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.93313,                 2.0339,                0.84446,                 1.0533,                 0.9054,                0.82492,                0.89385,                 0.7313,                0.87662,                0.77616,                0.84197,                0.58343,                0.75754,                 1.7362,                0.56419,                 0.9322,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                 0.9087,                 2.0816,                0.80316,                 1.0299,                0.90272,                0.81579,                0.89843,                0.72349,                0.87919,                0.76978,                0.84279,                0.57864,                0.76644,                 1.7508,                0.57131,                0.93539,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                0.90416,                 2.0366,                0.82568,                 1.0365,                0.90768,                0.80896,                0.89423,                0.71848,                0.87469,                0.77091,                0.84278,                0.57573,                0.77333,                 1.7587,                0.57805,                0.93707,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.86731,                 2.0358,                0.76217,                 1.0153,                0.89516,                0.81139,                0.89367,                0.71727,                0.86431,                 0.7708,                0.84107,                 0.5744,                0.77808,                 1.7633,                0.58368,                0.93884,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.87179,                 1.9585,                 0.7848,                 1.0199,                0.88438,                0.81785,                0.89141,                0.71454,                0.85722,                0.77511,                0.84254,                0.57268,                  0.783,                 1.7705,                0.58588,                0.94034,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.87141,                 1.9734,                0.77643,                 1.0182,                0.89046,                0.81438,                0.89057,                 0.7134,                0.87823,                0.78869,                0.85818,                0.57189,                 0.7846,                 1.7732,                0.58843,                0.94077,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.88392,                 2.0539,                0.77057,                 1.0215,                0.89412,                0.80949,                0.88934,                0.71282,                0.87971,                0.78885,                0.85695,                0.56922,                0.78675,                 1.7798,                0.59205,                 0.9418,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.88475,                  1.961,                0.78829,                 1.0333,                0.89362,                0.81183,                0.88866,                0.71067,                0.86821,                0.79157,                0.85356,                0.56902,                0.78925,                 1.7847,                0.59429,                0.94222,             2.3681e-06,             2.3681e-06,             2.3681e-06
